f1;f2
0.018636672781358166;8.964998189869219
-5.737664001092889;-1.8606869466690639
-4.195086884521734;-4.641739901830653
8.021220144821221;-4.016666917798829
-1.4030757458441512;5.093362658430292
-0.040701244149721205;3.8035602270894033
-1.7310686526802297;1.9692529871781124
-1.013591416801909;3.127712951609344
-4.036413177685309;-4.927149019026903
-8.879140341161218;-8.535361022926226
-1.6299332758513212;4.522659594064237
-9.29132655543746;7.331921073447901
-2.9254033850459495;8.51333906242464
-9.493112680905844;7.015462316467033
-2.550650828891514;4.909507773291288
-0.8079080313143512;9.608876805348372
-5.53614931231078;-1.9259424456226797
2.9053994706920614;-2.709376361512348
4.0586032817069935;-2.4156158185103034
-8.791826038870802;6.479214153411782
-7.2027643864553585;-1.7905457767651816
0.5531513220639247;-8.261740654527461
3.675166659372144;-2.4041265925541193
-1.159667236033139;-9.482417301117682
-8.09027012791629;8.306606763468848
0.13184693124721425;-8.618409350266102
;
;
-0.5157548443394118;8.471026919467079
-1.0195743294543629;9.431324302320451
-5.972317401142969;-0.8597854598062815
-0.787267189915634;3.6496579821637685
-0.038368503384693914;8.027659944719849
-8.090383007261739;6.733396701205804
-1.5995774211605125;1.0182915061078577
-1.068458232047097;4.556571115086868
3.622148992473253;-1.602895874559548
-7.72224754901991;-9.0565999236664
-2.908899500781809;4.142878730987501
;
;
-1.1633799162387315;4.333834140826326
-1.4639284135724466;4.29557106787755
6.882854324660484;-4.777572065041438
-1.195634771027946;9.029247229673993
4.742741806635731;-1.2816204617778084
-7.707368994066107;6.223279211914599
-9.11442814014717;-8.708655522829744
-2.466611101756785;8.140630848048255
-0.8897403587895443;8.803351519913138
-6.719554726276266;-1.4125131378107083
0.8215717304036818;-8.361760523694015
;
;
-1.8725989056943007;9.434161798600986
;
;
-8.520748941352988;-9.226449265419076
0.2514845534991315;-3.3405951313733873
;
;
;
;
0.9751662569208717;-3.2847230162004797
-8.712716951395045;7.321421784774569
8.37350421987799;-4.317471897459093
0.06318108045145998;-4.255928975925511
